fg/hello-world	Hello world app with all lan;gs. http://www.roesler-ac.de/wolfram/hello.htm	public, fork	2014-12-31T06:52:39Z
fg/paranoia	Paranoia is generic payment cli;ent for populer virtual pos api(s) of Turkey.	public, fork	2014-12-24T17:03:56Z
fg/core	Beautiful open-source forum softwar;e built for the modern web.	public, fork	2014-12-23T12:29:23Z
fg/backbone.validation	A validation plugin;for Backbone.js that validates both your model as well as form input	public, fork	2014-11-20T16:27:26Z
fg/scabbia2-fw	Scabbia2 PHP Framework Code	;public, fork	2014-11-14T11:12:16Z
fg/arguman.org	Argüman analiz & haritalama;platformu	public, fork	2014-11-13T07:44:47Z
fg/Image-Thumbnailer		public, fork	2014-10-;25T20:43:16Z
fg/php-mongo	MongoDB ODM for PHP	public, fo;rk	2014-07-24T19:34:53Z
fg/yamop	Yet another MongoDB ODM for PHP	pu;blic, fork	2014-07-23T13:05:57Z
fg/yii2-widgets	Collection of useful widget;s for Yii Framework 2.0	public, fork	2014-07-10T08:51:33Z
fg/yii2	Yii 2 framework main development re;po	public, fork	2014-06-17T12:49:15Z
fg/Insight.Database.Schema	Automatic databa;se schema installation and upgrade toolkit	public, fork	2014-05-19T16:44:19Z
fg/php-markdown	Parser for Markdown and Mar;kdown Extra derived from the original Markdown.pl by John Gruber.	public, fork	2014-05-15T19:49:30Z
fg/yii2-builder	Build forms (single or tabu;lar) easily for Yii Framework 2.0.	public, fork	2014-04-29T20:44:35Z
fg/yii-ecommerce	eCommerce platform built u;sing Yii Framework. WIP.	public, fork	2014-02-13T19:37:38Z
fg/knockout.mapping	Object mapping plugin f;or KnockoutJS	public, fork	2014-01-10T11:18:26Z
fg/phpist-html		public	2014-01-02T23:07:03Z
fg/Cobol_Catalog		public	2013-12-12T23:50:2;8Z
fg/markup	The code we use to render README.;your_favorite_markup	public, fork	2013-12-04T03:08:48Z
fg/workshop-eylul-2013	solr workshop eylül;2013	public, fork	2013-09-25T19:44:55Z
fg/Laravel-4-Bootstrap-Starter-Site	Laravel;4 Starter Site is a basic blog application using several nice community packages.	public, fork	2013-07-15T;00:12:14Z
fg/etkinlik-2013	symfony2 ile olusturulmus;etkinlik sitesi	public, fork	2013-07-08T08:36:48Z
fg/yii.TodoMVC	Yii TodoMvc	public	2013-06-2;1T06:05:05Z
fg/yii-user	Yii PHP Framework extension for;registration and management users accounts.	public, fork	2013-05-25T17:31:26Z
fg/muhafiz	Guard your codebase from bad cod;es!	public, fork	2013-04-29T06:55:13Z
fg/normalize.css	A modern, HTML5-ready alte;rnative to CSS resets	public, fork	2012-11-26T17:38:51Z
fg/mockup-designer	The mockup tool that use;s your local storage as backend.	public, fork	2012-11-19T15:17:48Z
fg/selectToAutocomplete	Turns any select ta;g into an autocomplete field with weighted options, synonyms and loose matching	public, fork	2012-09-11T14:;07:12Z
fg/shouldDo	shouldDo is an Emacs Org-Mode ";spreadsheet" to help you focus on your ShouldDOs, activities you should be doing to achieve results/outcome;s/impact. shouldDo;tracks your weekly p
fg/node-ssh	A hookable ssh server for node.;js using libssh	public, fork	2011-05-10T19:56:18Z
